"rule";"condition";"eval"
"Rule 1";"BUPERCTOT_2000 <= 0.00343f && Distance2Coastline > 245.422f";"add(2.7e-06f * Intercept, 1.08f * BUPERCTOT_2000)"
"Rule 10";"BUPERCTOT_2000 > 0.001527f && BUPERCTOT_2000 <= 0.0132f && Distance2Coastline > 245.422f && Distance2SecundaryRoads > 4.41123f";"add(-0.000168f * Intercept, 1.19f * BUPERCTOT_2000)"
"Rule 100";"BUPERCTOT_2000 > 0.267074f && Elevation > 361f";"add(0.0737498f * Intercept, 0.86f * BUPERCTOT_2000, -0.033f * TRI_mean, 0.0023f * ln_PopulationDensity_2000_8dir, -3e-05f * Distance2SecundaryRoads, -6e-05f * Grid_costs_atleast_to_cities, 2e-06f * Elevation, 5e-05f * Distance2LargeInlandWater, 0.0005f * slope, -7e-06f * Distance2Coastline, -0.002f * LandSlideProne_ARUP, -2e-05f * Grid_costs_atleast_to_towns, 3e-05f * Grid_costs_atleast_to_villages)"
"Rule 11";"ln_PopulationDensity_2000_8dir <= 4.184257f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities > 99f && Elevation > 860f";"add(-6.79e-05f * Intercept, 1.23f * BUPERCTOT_2000)"
"Rule 12";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Distance2Coastline <= 189.768f && Elevation <= 1080f";"add(-0.0036596f * Intercept, 1.42f * BUPERCTOT_2000, 0.0007f * ln_PopulationDensity_2000_8dir, 1.7e-06f * Elevation)"
"Rule 13";"BUPERCTOT_2000 <= 0.0132f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities <= 27f && Elevation <= 1518f";"add(3.7e-05f * Intercept, 1.31f * BUPERCTOT_2000, -8.7e-05f * Distance2SecundaryRoads, -2e-05f * Grid_costs_atleast_to_towns, 1e-06f * Elevation)"
"Rule 14";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 0f && Elevation <= 5f";"add(-0.0012774f * Intercept, 1.56f * BUPERCTOT_2000, -0.00063f * Grid_costs_atleast_to_towns, 0.0016f * ln_PopulationDensity_2000_8dir, -3.4e-05f * Distance2SecundaryRoads, -6e-05f * Grid_costs_atleast_to_cities, -0.006f * IsFloodProneArea_RP100, 6e-05f * Distance2LargeInlandWater, 2.1e-06f * Elevation, -0.006f * TRI_mean, -0.0005f * slope, 7e-06f * Distance2Coastline, -0.0002f * Earthquakes_MMI_Index)"
"Rule 15";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Grid_costs_atleast_to_cities > 13f && Elevation > 1080f";"add(-0.0052887f * Intercept, 1.61f * BUPERCTOT_2000, 2e-06f * Elevation, 0.0005f * ln_PopulationDensity_2000_8dir, -1.2e-05f * Distance2SecundaryRoads, 1.1e-05f * Distance2MajorRoads, -3e-05f * Grid_costs_atleast_to_towns, 0.0002f * Earthquakes_MMI_Index)"
"Rule 16";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 5.494381f && Grid_costs_atleast_to_cities > 13f";"add(-0.0051573f * Intercept, 1.63f * BUPERCTOT_2000, 0.0008f * ln_PopulationDensity_2000_8dir, 1.8e-06f * Elevation, -2e-05f * Grid_costs_atleast_to_towns)"
"Rule 17";"BUPERCTOT_2000 > 0.001213f && BUPERCTOT_2000 <= 0.0132f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities > 27f && Grid_costs_atleast_to_cities <= 99f && Elevation > 860f";"add(-0.0012681f * Intercept, 1.59f * BUPERCTOT_2000, -0.000117f * Distance2SecundaryRoads, 0.0005f * ln_PopulationDensity_2000_8dir)"
"Rule 18";"BUPERCTOT_2000 > 0.00343f && ln_PopulationDensity_2000_8dir <= 4.184257f && Distance2Coastline > 245.422f";"add(-0.0003341f * Intercept, 1.21f * BUPERCTOT_2000)"
"Rule 19";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns > 1f";"add(-0.0003006f * Intercept, 1.62f * BUPERCTOT_2000, -0.00017f * Grid_costs_atleast_to_towns, -0.00022f * Grid_costs_atleast_to_villages, -7e-05f * Grid_costs_atleast_to_cities, 0.0009f * ln_PopulationDensity_2000_8dir, 3.3e-06f * Elevation, 3e-05f * Distance2LargeInlandWater, -0.003f * TRI_mean, -6e-06f * Distance2Coastline)"
"Rule 2";"BUPERCTOT_2000 > 6.5e-05f && BUPERCTOT_2000 <= 0.001213f && Distance2SecundaryRoads <= 4.41123f";"add(1.81e-05f * Intercept, 1.22f * BUPERCTOT_2000, -1.5e-05f * Distance2SecundaryRoads)"
"Rule 20";"BUPERCTOT_2000 <= 0.0132f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities <= 27f && Elevation > 1518f";"add(0.0009125f * Intercept, 1.75f * BUPERCTOT_2000, -0.000345f * Distance2MajorRoads, -6e-05f * Grid_costs_atleast_to_cities, 0.0006f * ln_PopulationDensity_2000_8dir, -7e-05f * Grid_costs_atleast_to_villages)"
"Rule 21";"BUPERCTOT_2000 > 0.006583f && BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Grid_costs_atleast_to_cities > 13f && Elevation <= 1080f";"add(-0.0071506f * Intercept, 1.32f * BUPERCTOT_2000, 0.0014f * ln_PopulationDensity_2000_8dir, 1.6e-06f * Elevation, -2e-05f * Grid_costs_atleast_to_towns)"
"Rule 22";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Distance2Coastline <= 181.312f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns > 0f && Grid_costs_atleast_to_towns <= 1f";"add(-0.0020836f * Intercept, 2.41f * BUPERCTOT_2000, -0.00095f * Grid_costs_atleast_to_towns, -0.00038f * Grid_costs_atleast_to_cities, 0.0022f * ln_PopulationDensity_2000_8dir, -0.01f * TRI_mean, 1.9e-05f * Distance2Coastline, 2.1e-06f * Elevation, -0.004f * IsFloodProneArea_RP100, 3e-05f * Distance2LargeInlandWater)"
"Rule 23";"BUPERCTOT_2000 > 0.004448f && BUPERCTOT_2000 <= 0.0132f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities <= 99f && Elevation > 860f";"add(-0.004094f * Intercept, 1.5f * BUPERCTOT_2000, -0.000393f * Distance2SecundaryRoads, -0.00036f * Distance2MajorRoads, -6e-05f * Grid_costs_atleast_to_towns, 2.4e-06f * Elevation, -8e-05f * Grid_costs_atleast_to_villages, 0.0005f * slope, 0.0004f * ln_PopulationDensity_2000_8dir, 0.0003f * Earthquakes_MMI_Index, 8e-06f * Distance2Coastline, -2e-05f * Grid_costs_atleast_to_cities)"
"Rule 24";"BUPERCTOT_2000 <= 0.0132f && Distance2SecundaryRoads <= 1.60132f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 0f && TRI_mean > 1.01535f";"add(-0.0027491f * Intercept, 1.72f * BUPERCTOT_2000, 0.0015f * ln_PopulationDensity_2000_8dir, -3.3e-05f * Distance2SecundaryRoads, -8e-05f * Grid_costs_atleast_to_towns, -6e-05f * Grid_costs_atleast_to_cities, 7e-05f * Distance2LargeInlandWater, -8e-05f * Grid_costs_atleast_to_villages, 1.9e-06f * Elevation, -0.004f * IsFloodProneArea_RP100, -0.005f * TRI_mean, -0.0004f * slope, -0.0002f * Earthquakes_MMI_Index)"
"Rule 25";"BUPERCTOT_2000 > 0.004977f && BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 5.494381f";"add(-0.0033371f * Intercept, 1.66f * BUPERCTOT_2000, 0.0017f * ln_PopulationDensity_2000_8dir, -7e-05f * Grid_costs_atleast_to_towns, 3.2e-06f * Elevation, -0.006f * TRI_mean, -0.003f * IsFloodProneArea_RP100, -2e-05f * Grid_costs_atleast_to_cities)"
"Rule 26";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.029087f && Grid_costs_atleast_to_cities > 47f && Elevation <= 1338f";"add(-3.83e-05f * Intercept, 1.25f * BUPERCTOT_2000, 1.1e-06f * Elevation, -3e-05f * Grid_costs_atleast_to_villages, -1e-05f * Grid_costs_atleast_to_cities)"
"Rule 27";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 1f && Elevation > 5f";"add(-0.004876f * Intercept, 1.97f * BUPERCTOT_2000, -0.00081f * Grid_costs_atleast_to_towns, -0.00014f * Distance2SecundaryRoads, 0.0046f * ln_PopulationDensity_2000_8dir, 0.00028f * Distance2LargeInlandWater, -0.017f * IsFloodProneArea_RP100, -0.0017f * slope, -0.018f * TRI_mean, 5.3e-06f * Elevation, -0.001f * Earthquakes_MMI_Index, -7e-05f * Grid_costs_atleast_to_cities, 1.3e-05f * Distance2Coastline)"
"Rule 28";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.029087f && ln_PopulationDensity_2000_8dir <= 5.391702f && Grid_costs_atleast_to_cities <= 47f";"add(-0.0005129f * Intercept, 1.28f * BUPERCTOT_2000, 4.5e-05f * Distance2SecundaryRoads, -4.3e-05f * Distance2MajorRoads, -0.00013f * Grid_costs_atleast_to_villages, 2.6e-06f * Elevation)"
"Rule 29";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.029087f && ln_PopulationDensity_2000_8dir <= 5.391702f && Grid_costs_atleast_to_cities > 47f && Elevation > 1338f";"add(0.0032282f * Intercept, 1.28f * BUPERCTOT_2000, -8e-05f * Grid_costs_atleast_to_cities, 3.1e-05f * Distance2SecundaryRoads, 3.8e-06f * Elevation, -1.9e-05f * Distance2MajorRoads, -1.4e-05f * Distance2Coastline, -4e-05f * Grid_costs_atleast_to_towns, 0.0005f * ln_PopulationDensity_2000_8dir, 0.0004f * Earthquakes_MMI_Index, -4e-05f * Grid_costs_atleast_to_villages)"
"Rule 3";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir <= 4.184257f && Distance2Coastline <= 245.422f && Distance2SecundaryRoads > 4.41123f";"add(-1.62e-05f * Intercept, 1.17f * BUPERCTOT_2000)"
"Rule 30";"BUPERCTOT_2000 <= 0.0132f && ln_PopulationDensity_2000_8dir > 4.184257f && Distance2Coastline > 181.312f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns > 0f && Grid_costs_atleast_to_towns <= 1f";"add(-0.0224984f * Intercept, 3.07f * BUPERCTOT_2000, 0.0107f * ln_PopulationDensity_2000_8dir, -0.000111f * Distance2Coastline, -0.023f * TRI_mean, 4.9e-06f * Elevation, 9e-05f * Distance2LargeInlandWater)"
