"rule";"condition";"eval"
"Rule 31";"BUPERCTOT_2000 <= 0.0132f && Distance2LargeInlandWater > 4.5027f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 0f && Elevation > 19f && Elevation <= 217f";"add(-0.0112104f * Intercept, 3.18f * BUPERCTOT_2000, -0.00164f * Grid_costs_atleast_to_towns, -0.00022f * Grid_costs_atleast_to_cities, 0.0027f * ln_PopulationDensity_2000_8dir, 6.3e-05f * Distance2Coastline, -6.5e-05f * Distance2SecundaryRoads, -5.1e-06f * Elevation, 8e-05f * Distance2LargeInlandWater, -0.009f * TRI_mean, -0.006f * IsFloodProneArea_RP100, -0.0007f * slope, -0.0004f * Earthquakes_MMI_Index)"
"Rule 32";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.055981f && Distance2SecundaryRoads <= 1.99958f && Grid_costs_atleast_to_towns > 6f && Grid_costs_atleast_to_villages > 0f && Elevation > 38f";"add(-0.0007196f * Intercept, -0.00063f * Distance2SecundaryRoads, 1.23f * BUPERCTOT_2000, 0.0005f * ln_PopulationDensity_2000_8dir, 1.3e-06f * Elevation, -4e-05f * Grid_costs_atleast_to_villages, -2e-05f * Grid_costs_atleast_to_cities, -2e-05f * Grid_costs_atleast_to_towns, 6e-06f * Distance2Coastline)"
"Rule 33";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.03137f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2LargeInlandWater <= 1.27421f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation <= 357f && slope <= 0.477871f";"add(-0.016382f * Intercept, 0.001396f * Distance2MajorRoads, 0.85f * BUPERCTOT_2000, 4.06e-05f * Elevation, -0.0088f * slope, -0.00036f * Grid_costs_atleast_to_towns, 0.0044f * ln_PopulationDensity_2000_8dir, 0.00027f * Grid_costs_atleast_to_villages, 0.0002f * Distance2LargeInlandWater, 0.00011f * Grid_costs_atleast_to_cities, -3.5e-05f * Distance2SecundaryRoads, -0.006f * IsFloodProneArea_RP100, -9e-06f * Distance2Coastline)"
"Rule 34";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.055981f && ln_PopulationDensity_2000_8dir <= 5.391702f && Distance2SecundaryRoads <= 1.99958f && Elevation <= 38f";"add(-0.0008864f * Intercept, -0.000883f * Distance2SecundaryRoads, 1.25f * BUPERCTOT_2000, -3.53e-05f * Elevation, 0.001f * ln_PopulationDensity_2000_8dir, -0.0008f * slope, -3e-05f * Grid_costs_atleast_to_towns, -0.002f * IsFloodProneArea_RP100)"
"Rule 35";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.082754f && ln_PopulationDensity_2000_8dir <= 5.391702f && Distance2SecundaryRoads <= 1.99958f && Grid_costs_atleast_to_towns <= 6f";"add(0.0008643f * Intercept, -0.001269f * Distance2SecundaryRoads, 1.25f * BUPERCTOT_2000, -0.000117f * Distance2MajorRoads, -0.00018f * Grid_costs_atleast_to_towns, -0.00031f * Grid_costs_atleast_to_villages, 4.2e-06f * Elevation, 0.0009f * ln_PopulationDensity_2000_8dir, -0.0008f * slope, -2e-05f * Grid_costs_atleast_to_cities, -0.002f * IsFloodProneArea_RP100)"
"Rule 36";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.03137f && ln_PopulationDensity_2000_8dir > 5.391702f && ln_PopulationDensity_2000_8dir <= 5.842589f && Distance2Coastline > 53.4709f && Distance2LargeInlandWater > 1.27421f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation <= 357f && slope <= 0.477871f";"add(-0.0355095f * Intercept, 0.003167f * Distance2MajorRoads, 0.89f * BUPERCTOT_2000, -0.0156f * slope, 3.64e-05f * Elevation, 0.0087f * ln_PopulationDensity_2000_8dir, -0.00057f * Grid_costs_atleast_to_towns, 0.00064f * Grid_costs_atleast_to_villages, 0.00043f * Distance2LargeInlandWater, -8.4e-05f * Distance2SecundaryRoads, 0.00019f * Grid_costs_atleast_to_cities, -3.8e-05f * Distance2Coastline, -0.01f * IsFloodProneArea_RP100)"
"Rule 37";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.043303f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2MajorRoads <= 1.23635f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 27f && Grid_costs_atleast_to_towns > 0f && Grid_costs_atleast_to_towns <= 22f && Elevation > 36f && TRI_mean <= 1.00035f";"add(-0.0395147f * Intercept, 0.005345f * Distance2MajorRoads, -0.002688f * Distance2SecundaryRoads, 1.28f * BUPERCTOT_2000, 0.0071f * ln_PopulationDensity_2000_8dir, 0.00051f * Grid_costs_atleast_to_villages, -0.0034f * slope, -0.009f * IsFloodProneArea_RP100, 4.1e-06f * Elevation, 0.007f * LandSlideProne_ARUP, 1.2e-05f * Distance2Coastline, -2e-05f * Grid_costs_atleast_to_cities)"
"Rule 38";"BUPERCTOT_2000 <= 0.06786f && Distance2Coastline > 2.3977f && Distance2LargeInlandWater <= 1.48364f && Grid_costs_atleast_to_towns <= 0f";"add(0.0132773f * Intercept, -0.00086f * Distance2SecundaryRoads, 1.15f * BUPERCTOT_2000, 0.000277f * Distance2MajorRoads, 1.39e-05f * Elevation, -0.017f * IsFloodProneArea_RP100, 8e-06f * Distance2Coastline, 3e-05f * Distance2LargeInlandWater, -0.003f * TRI_mean, 0.0002f * ln_PopulationDensity_2000_8dir, -0.0002f * slope)"
"Rule 39";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.055981f && Distance2SecundaryRoads <= 1.99958f && Grid_costs_atleast_to_towns > 6f && Grid_costs_atleast_to_villages <= 0f";"add(0.0238144f * Intercept, -0.00328f * Distance2SecundaryRoads, 0.96f * BUPERCTOT_2000, -8e-05f * Grid_costs_atleast_to_towns, 2.2e-05f * Distance2Coastline, -0.006f * IsFloodProneArea_RP100, -0.007f * TRI_mean, 1.9e-06f * Elevation)"
"Rule 4";"BUPERCTOT_2000 > 6.5e-05f && BUPERCTOT_2000 <= 0.001213f && ln_PopulationDensity_2000_8dir > 2.20891f && ln_PopulationDensity_2000_8dir <= 4.184257f && Distance2SecundaryRoads <= 4.41123f && Grid_costs_atleast_to_cities <= 99f && Elevation > 860f";"add(-0.0008987f * Intercept, 0.96f * BUPERCTOT_2000, -2.5e-05f * Distance2SecundaryRoads, 0.0004f * ln_PopulationDensity_2000_8dir)"
"Rule 40";"BUPERCTOT_2000 <= 0.0132f && Distance2LargeInlandWater > 4.5027f && Grid_costs_atleast_to_cities <= 13f && Grid_costs_atleast_to_towns <= 0f && Elevation > 5f";"add(-0.0088058f * Intercept, 2.31f * BUPERCTOT_2000, -0.00103f * Grid_costs_atleast_to_towns, -0.00032f * Distance2SecundaryRoads, 0.0083f * ln_PopulationDensity_2000_8dir, 0.00039f * Distance2LargeInlandWater, -0.032f * TRI_mean, -0.0027f * slope, -0.016f * IsFloodProneArea_RP100, -0.0017f * Earthquakes_MMI_Index, 6e-06f * Elevation, -9e-05f * Grid_costs_atleast_to_cities, 2.5e-05f * Distance2Coastline)"
"Rule 41";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2SecundaryRoads > 0.971899f";"add(-0.0047568f * Intercept, 1.13f * BUPERCTOT_2000, 0.0034f * ln_PopulationDensity_2000_8dir, -8e-05f * Grid_costs_atleast_to_towns, 2.9e-06f * Elevation, -1.7e-05f * Distance2SecundaryRoads, -0.0007f * slope, -0.005f * IsFloodProneArea_RP100, -3e-05f * Grid_costs_atleast_to_cities, -0.005f * TRI_mean, 0.0002f * Earthquakes_MMI_Index)"
"Rule 42";"BUPERCTOT_2000 > 0.029087f && ln_PopulationDensity_2000_8dir <= 5.391702f && Distance2SecundaryRoads > 1.99958f";"add(0.0060022f * Intercept, 1.09f * BUPERCTOT_2000, 2.3e-06f * Elevation, 0.0006f * ln_PopulationDensity_2000_8dir, -3e-05f * Grid_costs_atleast_to_cities, -3e-05f * Grid_costs_atleast_to_towns, -4e-05f * Grid_costs_atleast_to_villages, -0.0002f * slope)"
"Rule 43";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline <= 3.11305f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_towns > 0f && Elevation <= 36f && TRI_mean <= 1.00035f";"add(0.0038171f * Intercept, 0.001646f * Distance2MajorRoads, 0.001385f * Distance2Coastline, -0.000632f * Distance2SecundaryRoads, 1.12f * BUPERCTOT_2000, -7.21e-05f * Elevation, -0.0045f * slope, -0.009f * IsFloodProneArea_RP100, 0.0005f * ln_PopulationDensity_2000_8dir, 3e-05f * Grid_costs_atleast_to_cities, -0.004f * IsProtectedArea, 3e-05f * Distance2LargeInlandWater, -2e-05f * Grid_costs_atleast_to_towns)"
"Rule 44";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_towns > 0f && TRI_mean > 1.00035f";"add(-0.0059795f * Intercept, 1.14f * BUPERCTOT_2000, -0.000259f * Distance2SecundaryRoads, 0.0035f * ln_PopulationDensity_2000_8dir, 3.2e-05f * Distance2MajorRoads, -0.01f * TRI_mean, 0.0007f * Earthquakes_MMI_Index, -5e-05f * Grid_costs_atleast_to_towns, 2.2e-06f * Elevation, 1e-05f * Distance2Coastline, -0.0003f * slope, -1e-05f * Grid_costs_atleast_to_cities)"
"Rule 45";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline <= 2.3977f";"add(0.0166095f * Intercept, 0.002248f * Distance2Coastline, 1.06f * BUPERCTOT_2000, -3.78e-05f * Elevation, 0.002f * slope, -0.011f * IsFloodProneArea_RP100, 0.0008f * Earthquakes_MMI_Index, -1.8e-05f * Distance2SecundaryRoads, -0.006f * TRI_mean, 4e-05f * Distance2LargeInlandWater, -2e-05f * Grid_costs_atleast_to_cities, -0.002f * LandSlideProne_ARUP)"
"Rule 46";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.03137f && ln_PopulationDensity_2000_8dir > 5.842589f && Distance2Coastline > 53.4709f && Distance2LargeInlandWater > 1.27421f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation <= 357f && slope <= 0.477871f";"add(-0.1364975f * Intercept, 0.011483f * Distance2MajorRoads, 0.0279f * ln_PopulationDensity_2000_8dir, 0.00359f * Grid_costs_atleast_to_villages, 8.31e-05f * Elevation, -0.00144f * Grid_costs_atleast_to_towns, 0.00048f * Distance2LargeInlandWater, -0.000101f * Distance2Coastline, -0.0029f * slope, 0.13f * BUPERCTOT_2000, -0.003f * IsFloodProneArea_RP100, -0.0003f * Earthquakes_MMI_Index)"
"Rule 47";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 247.027f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation > 357f && TRI_mean > 1.03958f";"add(0.0452963f * Intercept, 0.00091f * Distance2MajorRoads, 1.08f * BUPERCTOT_2000, 0.00055f * Grid_costs_atleast_to_villages, -0.027f * TRI_mean, -0.00014f * Grid_costs_atleast_to_cities, -0.00014f * Grid_costs_atleast_to_towns, 0.0017f * ln_PopulationDensity_2000_8dir, -0.005f * IsFloodProneArea_RP100, -0.0005f * slope, -1.6e-06f * Elevation, -2e-05f * Distance2LargeInlandWater)"
"Rule 48";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Grid_costs_atleast_to_cities <= 27f && Grid_costs_atleast_to_towns > 0f && Elevation <= 357f && slope > 0.477871f";"add(-0.0029268f * Intercept, 1.09f * BUPERCTOT_2000, -0.00044f * Grid_costs_atleast_to_towns, 1.64e-05f * Elevation, 0.0032f * ln_PopulationDensity_2000_8dir, -0.0018f * slope, 0.00015f * Distance2LargeInlandWater, -0.00017f * Grid_costs_atleast_to_villages, 0.0008f * Earthquakes_MMI_Index, -0.007f * IsFloodProneArea_RP100, 2e-05f * Distance2Coastline, -0.009f * TRI_mean, 2e-05f * Grid_costs_atleast_to_cities)"
"Rule 49";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_towns > 22f && Elevation > 36f && TRI_mean <= 1.00035f";"add(0.0084323f * Intercept, 1.17f * BUPERCTOT_2000, -0.000412f * Distance2SecundaryRoads, 0.00019f * Distance2MajorRoads, 0.0023f * ln_PopulationDensity_2000_8dir, -0.0018f * slope, -0.0001f * Grid_costs_atleast_to_cities, 5e-06f * Elevation, -2.6e-05f * Distance2Coastline, -7e-05f * Grid_costs_atleast_to_towns, 8e-05f * Grid_costs_atleast_to_villages, -3e-05f * Distance2LargeInlandWater)"
"Rule 5";"BUPERCTOT_2000 <= 0.006583f && ln_PopulationDensity_2000_8dir > 4.184257f && Distance2SecundaryRoads > 2.04813f && Grid_costs_atleast_to_cities > 13f && Elevation <= 1080f";"add(-0.0015876f * Intercept, 1.29f * BUPERCTOT_2000, 0.0003f * ln_PopulationDensity_2000_8dir)"
"Rule 50";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && Distance2Coastline <= 65.6127f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 27f && Elevation > 5f && Elevation <= 36f && slope <= 0.150381f";"add(-0.0041407f * Intercept, -0.007449f * Distance2SecundaryRoads, 0.001796f * Distance2MajorRoads, -0.0338f * slope, 8.65e-05f * Elevation, 1.06f * BUPERCTOT_2000, 0.0038f * ln_PopulationDensity_2000_8dir, -9.1e-05f * Distance2Coastline, 0.00037f * Grid_costs_atleast_to_villages, -0.00015f * Grid_costs_atleast_to_towns, 0.00011f * Grid_costs_atleast_to_cities, -0.0007f * Earthquakes_MMI_Index, -0.006f * IsFloodProneArea_RP100, -2e-05f * Distance2LargeInlandWater)"
"Rule 51";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2MajorRoads > 1.23635f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 27f && Grid_costs_atleast_to_towns > 0f && Grid_costs_atleast_to_towns <= 22f && Elevation > 36f && TRI_mean <= 1.00035f";"add(-0.0403913f * Intercept, -0.007017f * Distance2SecundaryRoads, 1.08f * BUPERCTOT_2000, 0.0092f * ln_PopulationDensity_2000_8dir, -0.0029f * slope, 0.019f * LandSlideProne_ARUP, 0.00034f * Grid_costs_atleast_to_villages, -0.00019f * Grid_costs_atleast_to_towns, 6.6e-06f * Elevation, 3.5e-05f * Distance2Coastline, -0.007f * IsFloodProneArea_RP100, -3e-05f * Grid_costs_atleast_to_cities)"
"Rule 52";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.06786f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 2.3977f && Distance2SecundaryRoads > 0.737301f && Grid_costs_atleast_to_towns <= 0f";"add(0.036101f * Intercept, 0.83f * BUPERCTOT_2000, 0.0045f * ln_PopulationDensity_2000_8dir, 8.7e-05f * Distance2Coastline, -0.029f * IsFloodProneArea_RP100, -0.00019f * Grid_costs_atleast_to_cities, -0.029f * TRI_mean, 0.0002f * Distance2LargeInlandWater, 7.7e-06f * Elevation, -0.013f * LandSlideProne_ARUP, -3.4e-05f * Distance2SecundaryRoads, -0.0008f * Earthquakes_MMI_Index, -0.0004f * slope)"
"Rule 53";"BUPERCTOT_2000 > 0.0132f && BUPERCTOT_2000 <= 0.119448f && ln_PopulationDensity_2000_8dir > 5.391702f && Distance2Coastline > 65.6127f && Distance2SecundaryRoads <= 0.971899f && Grid_costs_atleast_to_cities > 50f && Grid_costs_atleast_to_towns <= 43f && Elevation <= 36f && Earthquakes_MMI_Index <= 5f";"add(0.0019405f * Intercept, -0.005665f * Distance2SecundaryRoads, -0.0001412f * Elevation, 1.14f * BUPERCTOT_2000, -0.0117f * slope, 0.006f * ln_PopulationDensity_2000_8dir, -5.9e-05f * Distance2Coastline, -0.0016f * Earthquakes_MMI_Index, -0.00012f * Grid_costs_atleast_to_cities, -0.00013f * Grid_costs_atleast_to_towns, -0.003f * IsFloodProneArea_RP100)"
